matter_id,field_name,value
1830300500,Magistrate Judge Courtroom,(0500) - Testing on Symbols
1830300500,Purchase Type,lease to purchase
1830300500,Vehicle Purchase Date,07/20/2030
1830302510,Attorney Fees Amount,$25000
1830300500,Memo of Costs Filed,FALSE
1830300500,Vehicle Year,2007
1830300500,Standing Order,test@email.com
1830302510,Magistrate Judge Courtroom,(2510) - Testing on Symbols
1830302510,Purchase Type,certified pre-owned
1830302510,Vehicle Purchase Date,8/17/1987
1830302510,Attorney Fees Amount,7000
1830302510,Memo of Costs Filed,TRUE
1830302510,Vehicle Year,2003
1830302510,Standing Order,testforstandingorder@email.com
